Rank,Supplier,Total,Year,TIV
1,United States,713634,1950,1391
1,United States,713634,1951,4049
1,United States,713634,1952,6928
1,United States,713634,1953,9810
1,United States,713634,1954,6129
1,United States,713634,1955,7191
1,United States,713634,1956,8573
1,United States,713634,1957,8599
1,United States,713634,1958,9600
1,United States,713634,1959,7438
1,United States,713634,1960,6181
1,United States,713634,1961,6295
1,United States,713634,1962,6132
1,United States,713634,1963,9368
1,United States,713634,1964,12331
1,United States,713634,1965,11311
1,United States,713634,1966,8478
1,United States,713634,1967,7266
1,United States,713634,1968,8396
1,United States,713634,1969,11832
1,United States,713634,1970,8972
1,United States,713634,1971,11777
1,United States,713634,1972,10898
1,United States,713634,1973,12015
1,United States,713634,1974,12829
1,United States,713634,1975,15717
1,United States,713634,1976,15651
1,United States,713634,1977,14421
1,United States,713634,1978,14001
1,United States,713634,1979,9789
1,United States,713634,1980,10741
1,United States,713634,1981,13610
1,United States,713634,1982,14008
1,United States,713634,1983,13940
1,United States,713634,1984,11889
1,United States,713634,1985,10804
1,United States,713634,1986,11635
1,United States,713634,1987,12206
1,United States,713634,1988,11869
1,United States,713634,1989,11319
1,United States,713634,1990,10609
1,United States,713634,1991,12509
1,United States,713634,1992,14079
1,United States,713634,1993,13808
1,United States,713634,1994,11500
1,United States,713634,1995,11189
1,United States,713634,1996,10851
1,United States,713634,1997,14513
1,United States,713634,1998,15715
1,United States,713634,1999,11545
1,United States,713634,2000,7572
1,United States,713634,2001,5590
1,United States,713634,2002,4893
1,United States,713634,2003,5662
1,United States,713634,2004,6846
1,United States,713634,2005,6787
1,United States,713634,2006,7545
1,United States,713634,2007,7864
1,United States,713634,2008,6804
1,United States,713634,2009,6888
1,United States,713634,2010,8074
1,United States,713634,2011,8943
1,United States,713634,2012,9053
1,United States,713634,2013,7504
1,United States,713634,2014,9602
1,United States,713634,2015,9932
1,United States,713634,2016,9864
1,United States,713634,2017,11909
1,United States,713634,2018,9824
1,United States,713634,2019,10923
1,United States,713634,2020,9233
1,United States,713634,2021,10613
2,Soviet Union,450754,1950,3977
2,Soviet Union,450754,1951,3602
2,Soviet Union,450754,1952,5880
2,Soviet Union,450754,1953,8523
2,Soviet Union,450754,1954,8624
2,Soviet Union,450754,1955,5752
2,Soviet Union,450754,1956,6376
2,Soviet Union,450754,1957,6682
2,Soviet Union,450754,1958,8047
2,Soviet Union,450754,1959,7877
2,Soviet Union,450754,1960,6329
2,Soviet Union,450754,1961,6220
2,Soviet Union,450754,1962,7641
2,Soviet Union,450754,1963,7026
2,Soviet Union,450754,1964,8908
2,Soviet Union,450754,1965,8666
2,Soviet Union,450754,1966,10312
2,Soviet Union,450754,1967,11697
2,Soviet Union,450754,1968,11196
2,Soviet Union,450754,1969,9851
2,Soviet Union,450754,1970,9782
2,Soviet Union,450754,1971,11163
2,Soviet Union,450754,1972,13288
2,Soviet Union,450754,1973,15504
2,Soviet Union,450754,1974,15244
2,Soviet Union,450754,1975,11300
2,Soviet Union,450754,1976,9574
2,Soviet Union,450754,1977,15145
2,Soviet Union,450754,1978,17336
2,Soviet Union,450754,1979,16699
2,Soviet Union,450754,1980,17904
